Name;Alt;Day;Month
ΕΡΜΥΛΛΟΣ;Ερμύλλος,Ερμίλλος,Ερμύλλη,Ερμίλλη,Ερμύλα,Ερμυλλος,Ερμιλλος,Ερμυλλη,Ερμιλλη,Ερμυλα;13;1
ΝΙΝΑ;Νίνας,Νίνα,Νινας,Νινα;14;1
δενυπάρχειμιαγιορτήπάραπολύγνωστή;;15;1
δενυπάρχειμιαγιορτήπάραπολύγνωστή;;16;1
ΑΝΤΩΝΙΟΣ;Αντώνιος,Αντώνης,Αντώνας,Τόνης,Τόνυ,Αντωνάκος,Νάκος,Αντωνάκης,Αντωνία,Αντωνούλα,Τόνια,Αντωνιος,Αντωνης,Αντωνας,Τονης,Τονυ,Αντωνακος,Νακος,Αντωνακης,Αντωνια,Αντωνουλα,Τονια;17;1
ΘΕΟΔΟΣΙΟΣ;Θεοδόσιος,Θεοδόσης,Δόσιος,Δόσης,Θεοδοσιος,Θεοδοσης,Δοσιος,Δοσης;17;1
ΑΘΑΝΑΣΙΟΣ;Αθανάσιος,Αθανασία,Θανάσης,Νάσια,Νάνσυ,Νάσος,Θανάσος,Θανασάκης,Σάκης,Θάνος,Θανασία,Θανασούλα,Σούλα,Νάσα,Αθανασιος,Αθανασια,Θανασης,Νασια,Νανσυ,Νασος,Θανασος,Θανασακης,Σακης,Θανος,Θανασια,Θανασουλα,Σουλα,Νασα;18;1
ΘΕΟΔΟΥΛΑ;Θεόδουλος,Θεοδούλιος,Θεοδούλης,Θεόδουλη,Θεοδουλία,Θεοδούλα,Θεοδούλη,Θεοδουλος,Θεοδουλιος,Θεοδουλης,Θεοδουλη,Θεοδουλια,Θεοδουλα;18;1
ΚΥΡΙΛΛΟΣ;Κύριλλος,Κυριλλία,Κυρίλλα,Κυρίλλη,Κυριλλος,Κυριλλια,Κυριλλα,Κυριλλη;18;1
ΕΥΦΡΑΣΙΑ;Ευφρασία,Ευφρασίτσα,Ευφρασια,Ευφρασιτσα;19;1
ΜΑΚΑΡΙΟΣ;Μακάριος,Μακάρης,Μακαράς,Μακαρία,Μακάρω,Μακαρίτσα,Μακαρούλα,Μακαριος,Μακαρης,Μακαρας,Μακαρια,Μακαρω,Μακαριτσα,Μακαρουλα;19;1
ΕΥΘΥΜΙΟΣ;Ευθύμιος,Ευθύμης,Θύμιος,Θέμης,Ευθυμία,Ευθυμούλα,Ευθυμιος,Ευθυμης,Θυμιος,Θεμης,Ευθυμια,Ευθυμουλα;20;1
ΘΥΡΣΗ;Θύρσος,Θύρσης,Θύρσα,Θύρση,Θυρσος,Θυρσης,Θυρσα,Θυρση;20;1
ΦΑΒΙΑΝΟΣ;Φαβιανός,Φαβιανος;20;1
ΑΓΝΗ;Αγνή,Αγνούλα,Αγνη,Αγνουλα;21;1
ΕΥΓΕΝΙΟΣ;Ευγένιος,Ευγένης,Ευγενιος,Ευγενης;21;1
ΜΑΞΙΜΟΣ;Μάξιμος,Μάξιμη,Μάξιμα,Μαξιμος,Μαξιμη,Μαξιμα;21;1
